generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
0;-3.81521e-06;-0.00049569;10;9.95619;1.0794e-05;2.40694e-05;-4.86797e-08;0;110.353;2500;2500;5000;
10;-0.000753477;-0.00519083;10;9.8184;0.000140693;0.000249113;4.47408e-06;0;105.218;2513;2487;5000;
20;0.00114566;-0.00976658;9.85439;10.0366;0.000284695;0.00046357;-2.9093e-06;1.43492;100.975;2496;2504;5000;
30;0.00325882;-0.0133945;10;9.72781;0.000455681;0.000599929;1.42848e-05;0;94.6399;2534;2466;5000;
40;0.00179209;-0.0183573;10;10.2462;0.000612022;0.000880387;-1.03272e-06;0;104.58;2461;2539;5000;
50;0.00164157;-0.0212136;9.90544;10.13;0.000670409;0.00104545;2.01527e-05;0.936684;102.258;2486;2514;5000;
60;0.00188587;-0.0255661;10;9.79401;0.00067341;0.0012677;1.5919e-05;0;102.756;2480;2520;5000;
70;0.00313022;-0.0295766;9.98808;10.1248;0.000731241;0.00136367;7.71909e-06;0.119047;100.226;2483;2514;5000;
80;0.0035391;-0.0310553;10;9.8334;0.000771561;0.00142903;5.16572e-06;0;99.2979;2519;2479;5000;
90;0.00256401;-0.0314296;10;9.90064;0.000854458;0.0013818;1.24152e-05;0;98.8375;2508;2491;5000;
100;0.00255502;-0.041243;9.94413;9.93585;0.000979942;0.00197652;4.23003e-06;0.555538;100.958;2507;2492;5000;
110;0.00355612;-0.0476746;9.91952;9.72962;0.00105734;0.00222;-1.12239e-05;0.798351;96.9448;2533;2465;5000;
120;0.00222755;-0.045768;9.86593;10.0325;0.0010368;0.00223894;-2.80398e-05;1.32272;99.2684;2495;2502;5000;
130;0.00292895;-0.0515998;10;9.85776;0.0010791;0.0022759;1.26665e-05;0;96.3844;2505;2495;5000;
140;0.00792811;-0.0564229;10;9.71296;0.00121338;0.00264337;-3.75335e-05;0;99.1418;2490;2504;5000;
150;0.00912603;-0.0562008;10;9.67438;0.00137222;0.00262218;4.68449e-05;0;97.5401;2530;2466;5000;
160;0.00715299;-0.0591667;9.87876;10.2251;0.00130714;0.00287964;1.1162e-07;1.19766;101.423;2471;2526;5000;
170;0.00711403;-0.0594893;9.81897;9.9146;0.00143996;0.00301597;-2.58126e-05;1.77754;93.8113;2501;2495;5000;
180;0.00630616;-0.0653968;9.93457;10.6911;0.00159051;0.00311318;3.80337e-05;0.650068;107.516;2419;2581;5000;
190;0.00547425;-0.0686641;9.77927;9.86196;0.00176026;0.00337816;8.62634e-05;2.15861;99.8591;2514;2481;5000;
200;0.0061139;-0.0721326;9.9722;10.1007;0.00186481;0.00366593;-3.72975e-05;0.277226;102.125;2486;2511;5000;
210;0.00466485;-0.076829;10;10.1839;0.00208714;0.00382177;2.57883e-05;0;103.285;2448;2547;5000;
220;0.00704674;-0.0820683;9.98788;9.79794;0.00225146;0.00398918;-5.24708e-06;0.121016;94.6898;2522;2473;5000;
230;0.00997185;-0.095171;10;9.92067;0.00221032;0.00409189;1.5027e-05;0;96.7807;2488;2501;5000;
240;0.0136037;-0.100844;10;9.70079;0.0022497;0.00410848;2.08219e-05;0;95.501;2531;2464;5000;
250;0.0175744;-0.10475;9.82365;9.65269;0.00258483;0.00439966;-1.40161e-05;1.73243;92.055;2539;2451;5000;
260;0.0166256;-0.109018;10;9.84712;0.00289477;0.00481924;-2.61174e-05;0;100.917;2476;2512;5000;
270;0.0183262;-0.109996;9.89562;9.74492;0.00324527;0.00438383;-8.96874e-05;1.03286;103.642;2524;2465;5000;
280;0.0176598;-0.111867;10;9.94488;0.00327029;0.00424803;4.82424e-05;0;108.343;2468;2526;5000;
290;0.0234043;-0.11473;10;10.0559;0.00334718;0.00434925;-5.86872e-05;0;100.156;2467;2520;5000;
300;0.0265394;-0.116602;10;9.98417;0.00321895;0.00484315;2.3762e-05;0;99.8019;2468;2523;5000;
310;0.0280059;-0.121156;9.72608;9.63321;0.00359582;0.00512037;-1.90292e-05;2.66415;92.9328;2541;2450;5000;
320;0.0277507;-0.125874;10;9.74783;0.00349371;0.0054176;9.13325e-05;0;93.0018;2518;2474;5000;
330;0.0316538;-0.128204;9.77111;9.85807;0.00341628;0.00519011;-1.61585e-05;2.23648;93.4511;2517;2476;5000;
340;0.0357124;-0.131879;9.84468;9.8634;0.00360151;0.00529461;-6.98578e-06;1.52904;99.459;2507;2472;5000;
350;0.0340345;-0.13784;9.85152;9.66507;0.00382991;0.00592978;3.86448e-05;1.46271;96.6183;2532;2455;5000;
360;0.0379176;-0.134162;10;10.1124;0.003835;0.00546459;9.01012e-05;0;100.469;2467;2520;5000;
370;0.0421869;-0.131674;10;10.0278;0.00362719;0.00545458;9.48707e-05;0;100.397;2466;2524;5000;
380;0.0378636;-0.131903;10;10.0479;0.00388714;0.00542968;8.74123e-05;0;96.0456;2467;2517;5000;
390;0.0388205;-0.132994;9.80769;9.67652;0.00389604;0.00528992;-0.000139884;1.88609;94.8235;2544;2448;5000;
400;0.0387591;-0.134658;9.83287;9.83514;0.00411077;0.00602685;3.95856e-05;1.64338;100.134;2512;2471;5000;
410;0.0396984;-0.133079;10;9.94835;0.00416237;0.00582388;-4.32497e-05;0;106.751;2485;2504;5000;
420;0.0364845;-0.132766;10;10.0514;0.00439232;0.00557173;-4.84808e-05;0;107.589;2446;2542;5000;
430;0.0381611;-0.131634;9.83554;9.64101;0.00428305;0.0058041;6.9274e-06;1.61756;98.475;2541;2452;5000;
440;0.0373452;-0.13157;10;9.62095;0.00440859;0.0060861;8.82226e-05;0;99.4655;2523;2462;5000;
450;0.0431841;-0.130494;10;9.76935;0.00469642;0.00613944;1.69218e-05;0;104.99;2490;2499;5000;
460;0.0381622;-0.136078;10;9.79703;0.00446578;0.00570598;-0.000100034;0;100.193;2473;2510;5000;
470;0.0356061;-0.132999;9.97987;9.85294;0.00433282;0.00520455;6.51538e-06;0.200883;99.0642;2505;2479;5000;
480;0.0401613;-0.135998;10;10.1471;0.00515083;0.00554902;-7.21022e-05;0;105.821;2438;2553;5000;
490;0.0391544;-0.133202;10;9.84246;0.00503913;0.00508368;-3.39097e-05;0;93.8704;2491;2499;5000;
500;0.0406446;-0.128987;9.70963;9.57763;0.00449715;0.00487132;8.89388e-05;2.81942;92.6213;2543;2441;5000;
510;0.0381648;-0.13603;10;9.92829;0.00524323;0.00519414;-3.84669e-05;0;99.9152;2495;2492;5000;
520;0.0416584;-0.138664;9.99597;9.86095;0.00530647;0.0052312;-2.47286e-05;0.0402576;104.271;2502;2482;5000;
530;0.0487253;-0.143556;10;10.491;0.00552708;0.0062809;0.000240675;0;108.761;2424;2564;5000;
540;0.0371968;-0.146223;9.96809;10.0241;0.00531787;0.00606978;2.13636e-05;0.318088;102.767;2490;2499;5000;
550;0.0349141;-0.147766;10;10.3041;0.00526793;0.00621318;8.30009e-05;0;101.327;2446;2541;5000;
560;0.0390452;-0.15093;9.39584;9.22889;0.0057261;0.00685101;6.73823e-05;5.67658;94.3462;2593;2395;5000;
570;0.0412118;-0.151854;10;10.1176;0.0059385;0.00714273;0.00010374;0;98.496;2406;2580;5000;
580;0.0398967;-0.15544;9.94375;9.85663;0.00610264;0.00685477;0.000158148;0.559311;96.5943;2509;2475;5000;
590;0.040508;-0.158309;10;10.0879;0.00680401;0.00690987;6.02777e-05;0;100.152;2459;2524;5000;
600;0.034374;-0.155832;10;10.1113;0.00641137;0.00669006;0.00010879;0;104.64;2442;2543;5000;
610;0.0271331;-0.159489;9.74951;9.97546;0.00669992;0.0070285;-7.95303e-05;2.44215;100.531;2491;2491;5000;
620;0.0257554;-0.169426;10;10.1657;0.00725703;0.00739388;-0.000123798;0;106.366;2406;2576;5000;
